Question,Answer
What is Wi-Fi Calling?,"Wi-Fi Calling enables you to make and receive calls over a Wi-Fi network using your existing Jio number. The benefits of Wi-Fi calling in International Roaming are listed below: 
   
 Benefits of Wi-Fi calling in International Roaming:

 
 Make and receive voice calls on any Indian number with Wi-Fi using your existing Jio number at just ₹1/min 
 Video call your loved ones on any Jio number 
 Easily connect in case of signal issues in remote areas or dark cellular zones of buildings 
 Wi-Fi Calling doesn’t carry any additional charge. All you need is a Wi-Fi Calling pack and an HD voice-compatible device 
 To learn how to turn on Wi-Fi Calling and check the handset eligibility, click  www.jio.com/wificalling 
 
 
 Note: The charging for Wi-Fi Calling will be deducted from the respective IR pack balance. Charging for video calls will be deducted from the IR Pack balance and home data bucket. 
   
 A base plan with sufficient home data balance should be available to make video calls to the Jio number. Grace plan customers will not be able to use Jio Wi-Fi Calling services."
How to enable Wi-Fi Calling?,"You can enable Wi-Fi Calling in three simple steps:

 
 
 Go to Settings and switch on the Wi-Fi Calling feature on your Wi-Fi Calling capable handset 
 Connect to a Wi-Fi network and enjoy Wi-Fi Calling on any Indian number 
 To learn how to turn on Wi-Fi Calling and check the handset eligibility, click  www.jio.com/wificalling 
 
 
 Note: Some applications can download data even when you are not actively using them. We recommend setting your ‘Mobile Data’ as ‘OFF’ or managing your application settings to avoid this data usage."
What services are currently available on Wi-Fi Calling while roaming internationally?,"Wi-Fi Calling pack  offers the following benefits:
 
 Outgoing calls to any Indian mobile number 
 Incoming calls from India or anywhere in the world 
 Incoming SMS 
 Video calls to any Jio number in India 
 Local calls within the visited country or calls to the rest of the world are currently unavailable 
 Video calls on the non-Jio number and outgoing SMS are not allowed"
What are the charges for calls made through the IR 1102 Wi-Fi Calling pack?,"The tariff for  Wi-Fi Calling   from IR 1102 and Global packs are listed below: 
 
 Outgoing voice calls to India – ₹1/min 
 Incoming voice calls – ₹1/min 
 Incoming SMS – Free 
 Video outgoing and incoming calls – ₹1/min + Data from home data bucket 
 
 Note: Outgoing SMS, outgoing local voice calls, and outgoing voice call to the rest of the world are not allowed. 
 Wi-Fi Calling service can be availed using Wi-Fi Calling pack only and will not be available for PayGo customers. 
 
 
 
 
 
 Sl. No 
 Call Type 
 Wi-Fi IR Usage 
 Charging 
 
 
 1 
 Voice 
 Outgoing – Calls to India (from the visited country) 
  Flat ₹1 for Wi-Fi Call back to India 
 
 
 2 
 Outgoing - Local  (in the visited country) 
 Not allowed 
 
 
 3 
 Outgoing - RoW (from the visited country) 
 Not allowed 
 
 
 4 
 Incoming (in the visited country) 
 Flat ₹1 for Wi-Fi IR Incoming Voice Calls 
 
 
 5 
 Video* 
 Outgoing – Calls to Jio India numbers (from the visited country) 
 Flat ₹1 for Wi-Fi IR Video Call back to India + Data from Home data bucket 
 
 
 6 
 Incoming from Jio India Numbers (in the visited country) 
 Flat ₹1 for Wi-Fi IR Video Call back to India + Data from home data bucket 
 
 
 7 
 SMS 
 Outgoing SMS 
 Not allowed 
 
 
 8 
 SMS 
 Incoming SMS 
  Free 
 
 
 
 
   
 *For outgoing/incoming video Calls, ₹1 + data usage deducted from home data bucket. Video outgoing/incoming calls are allowed only to Jio Numbers. 
 Local = Calls within the Visited Country 
 RoW = Calls to Rest of World numbers i.e. other than India & Local"
How will I be charged for calls made through Wi-Fi Calling using the Unlimited IR packs ?,"The tariff for  Jio Wi-Fi calls   using the Unlimited IR pack is given below: 
 
 
 Unlimited IR pack come with entitlement benefits - Covers Wi-Fi Calls and Video Calls to India along with existing Cellular IR Usage entitlement in the same bucket of the respective packs 
 Post-Pack Entitlement Charges - Call rates for Call-back to India, post entitlement will be charged at Re. 1/min 
 Incoming Wi-Fi Calls and Video calls to remain Free like cellular incoming calls as per the pack validity 
 IR Wi-Fi outgoing and incoming video calls to Jio Numbers - Video data usage to be deducted from the home data bucket of the customer 
 
 
 
 
 
 
 Jio Wi-Fi IR usage  
 Unit 
 Within Unlimited IR Pack Commercial Usage limit 
 Beyond Commercial usage limit of Unlimited IR pack 
 
 
 Outgoing – Calls to India 
 ₹/Min 
 Free (Consumed from pack entitlement) 
 ₹1/min 
 
 
 Outgoing - Local 
   
 Not allowed 
 Not allowed 
 
 
 Outgoing - RoW 
   
 Now allowed 
 Now allowed 
 
 
 Incoming calls    
 ₹/Min 
 Free (Consumed from Pack entitlement) 
 Free 
 
 
 SMS Outgoing 
 ₹/SMS 
 Not allowed 
 Not allowed 
 
 
 SMS Incoming 
 ₹/SMS 
 Free 
 Free 
 
 
 *Video Outgoing – Calls to Jio numbers in India 
 ₹/Min 
 Free (Consumed from pack entitlement) + (Video call data usage is deducted from home data bucket) 
 ₹1/min (And Video call data usage is deducted from home data bucket) 
 
 
 *₹1/min (And Video call data usage is deducted from home data bucket) 
 ₹/Min 
 Free (Consumed from pack entitlement) (Video call data usage is deducted from home data bucket) 
 Free (Video call data usage is deducted from home data bucket) 
 
 
 
 
   
 *For Video Outgoing and Incoming Calls, the pack entitlement will be consumed from the available benefits. Data usage is deducted from the home data bucket. 
 Video Outgoing and Incoming calls are allowed only to Jio numbers in India. 
 
 
 Local = Calls within the visited country 
 RoW = Calls to Rest of World numbers i.e. other than India & Local 
 
 
 Note: Wi-Fi Calling service can be availed using Wi-Fi Calling pack only and will not be available for PayGo customers."
Does Wi-Fi Calling consume data? How much data will a Wi-Fi call consume?,"Here’s how  Wi-Fi Calling   works under Jio postpaid plans:
 
 Voice calls are consumed from your IR pack balance and do not consume data 
 Wi-Fi Calling for Video calls consumes data from the home data plan balance 
 The actual data usage of your video call may vary 
 Wi-Fi Calling for video calls is allowed only to Jio numbers in India"
Why am I unable to make or receive Wi-Fi calls on my Jio Postpaid SIM while abroad?,"If you are unable to use Wi-Fi calling on your Jio Postpaid number abroad, check the following: 
 Device Support: Ensure your phone supports Wi-Fi Calling. 
 Software: Update your device to the latest software version. 
 Settings: Go to your phone settings and switch ON ""Wi-Fi Calling."" 
 Internet: Ensure you are connected to a stable, high-speed Wi-Fi network. 
 Active Plan: Ensure you have an active International Roaming pack that supports Wi-Fi calling. 
 Still facing issues? 
 Global WhatsApp Support: Message ""Hi"" to +91 70188 99999. Our specialized International Roaming team is available 24/7 to help you get connected."
Why am I facing call mute/call drop issues while using the Wi-Fi Calling service?,Wi-Fi Calling requires a stable Wi-Fi connection. You may experience a call drop issue if you are not within the Wi-Fi coverage area or if the Wi-Fi network quality is poor.
Can I call someone who does not have Wi-Fi Calling enabled on his/her phone?,"Yes, you will be able to make calls to any Indian number depending on your plan."
"Can I call on Emergency, Satellite and Special Services Numbers using Wi-Fi Calling Services?","No, Wi-Fi Calling does not allow calls to Emergency, Satellite or Special services numbers."
